TIPO DE USO DO IMOVEL,ANO DO EXERCICIO,quantidade
"outras edificações do tipo (uso coletivo), com utilização múltipla",1998,1858
"outras edificações do tipo (uso comércio), com utilização múltipla",1998,14170
"outras edificações do tipo (uso especial), com utilização múltipla",1998,1053
"outras edificações do tipo (uso serviço), com utilização múltipla",1998,3903
posto de serviço (combustíveis),1998,1990
"prédio com uso exclusivamente residencial, não em condomínio",1998,1315
"prédio com uso misto, predominância de uso não residencial, não em condomínio",1998,68
"prédio com uso misto, predominância de uso residencial, não em condomínio",1998,3804
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",1998,20482
residência,1998,942806
"residência coletiva (mais de uma residência no lote), exclusive cortiço",1998,178963
residência e outro uso (predominância residencial),1998,68253
templo,1998,4230
terreno,1998,156009
Apartamento em condomínio,2018,1304643
Armazéns gerais e depósitos,2018,8499
"Asilo, orfanato, creche, seminário ou convento",2018,716
"Cinema, teatro, casa de diversão, clube ou congênere",2018,570
Clube esportivo,2018,558
Cortiço,2018,1794
Escola,2018,6727
Escritório/consultório em condomínio (unidade autônoma),2018,131044
"Estação radioemissora, de televisão ou empresa jornalística",2018,479
Flat de uso comercial (semelhante a hotel),2018,23681
Flat residencial em condomínio,2018,4744
Garagem (exclusive em prédio em condomínio),2018,2692
Garagem (unidade autônoma) de prédio de garagens,2018,9303
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",2018,34676
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,2018,193813
"Hospital, ambulatório, casa de saúde e assemelhados",2018,1290
"Hotel, pensão ou hospedaria",2018,2190
Indústria,2018,13371
Loja,2018,54016
Loja e residência (predominância comercial),2018,45483
Loja em edifício em condomínio (unidade autônoma),2018,23238
Oficina,2018,10057
"Outras edificações de uso coletivo, com utilização múltipla",2018,2920
"Outras edificações de uso comercial, com utilização múltipla",2018,20857
"Outras edificações de uso de serviço, com utilização múltipla",2018,4975
"Outras edificações de uso especial, com utilização múltipla",2018,1260
Posto de serviço,2018,2311
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",2018,2078
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2018,2717
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",2018,25110
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",2018,267
Residência,2018,1072665
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",2018,203982
Residência e outro uso (predominância residencial),2018,85089
Templo,2018,5767
Terreno,2018,110626
apartamento,2001,748637
armazéns gerais e depósitos,2001,7885
"asilo, orfanato, creche, seminário ou convento",2001,511
"cinema, teatro, casa de diversão, clube ou congênere",2001,548
clube esportivo,2001,560
cortiço (habitação coletiva subnormal),2001,1774
escola,2001,6976
