,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
4,Arco Tamanduatei,13795715.0,12265592.618099999,6429241.835100001,30.0,8.784102011494252,1.124749160480191,0.5241688710264635,2018
5,Arco Tiete,39782055.0,37025193.2491,16573563.597399993,32.0,9.93,1.0744590779675949,0.4476293610649246,2018
6,Avenida Cupece,2887136.0,2659528.153,1245087.7034000002,29.0,10.05,1.0855820408380539,0.46816112925727704,2018
7,Centro,13403859.0,3537799.956700001,2531871.307499998,46.0,12.6625,3.78875548760617,0.7156626543298632,2018
8,Faria Lima-Agua Espraiada-Chucri Zaidan,27295324.0,13592349.229799995,6063135.555500003,42.0,10.0,2.0081388094530026,0.4460697303308781,2018
9,Fernao Dias,1010897.0,1963797.0411999999,717184.1945,19.0,10.894166666666667,0.5147665358443968,0.36520280836239405,2018
10,Fora de Setor,374882217.0,462430421.8151015,164734689.25859955,50.0,10.0,0.8106781027263236,0.3562367039175186,2018
11,Noroeste,4441808.0,10487319.6432,2807545.2830000003,33.0,10.9925,0.4235408236917883,0.267708564105836,2018
0,Arco Jacu-Pessego,1956556.0,8928984.316999998,1348048.2596,14.0,10.0,0.21912413893200486,0.15097442348884352,1995
1,Arco Jurubatuba,6199071.0,13744747.451499993,3920296.2739,22.0,10.75,0.4510138161413422,0.28522141186902417,1995
2,Arco Leste,14788507.0,29065954.119899996,9986466.408199992,44.0,10.0,0.5087913831762039,0.34357951461028285,1995
3,Arco Pinheiros,3611677.0,12188244.486900002,2312399.7873,26.0,13.3,0.29632462688796996,0.18972377767654572,1995
4,Arco Tamanduatei,9491444.0,11833096.811800001,5617597.6147,26.0,8.847916666666666,0.8021098915150514,0.47473604788715273,1995
5,Arco Tiete,27864676.0,36862468.40129998,14484956.306000004,31.0,10.0,0.7559091186367034,0.3929459131252638,1995
6,Avenida Cupece,1398147.0,1911301.9690999999,725174.8177000001,25.0,10.833333333333332,0.7315154918499687,0.3794140483418603,1995
7,Centro,12519319.0,3455955.8684000014,2403303.697400002,46.0,12.64,3.622534394745049,0.695409255475434,1995
8,Faria Lima-Agua Espraiada-Chucri Zaidan,11796025.0,13082684.013699992,4828781.375400001,34.0,10.0,0.9016517549187444,0.36909714935737753,1995
9,Fernao Dias,711587.0,1922220.8904,565194.932,12.0,10.25,0.37019002527431905,0.29403224927099153,1995
10,Fora de Setor,226769323.0,436791860.53529984,119152222.9505999,199.23,10.0,0.5191702123800757,0.27278947644440016,1995
11,Noroeste,2475581.0,8388916.585099999,1855266.1205,21.0,11.259583333333333,0.2951013965733085,0.22115682063107373,1995
0,Arco Jacu-Pessego,2335122.0,9110528.316999998,1638721.2595999995,14.0,10.0,0.25631027298852976,0.17987115593968248,1997
