,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
7,Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,19398862.0,69281951.93289998,13842891.055499991,40.0,10.276819923371647,0.2799987797512969,0.1998051537131477,2006
8,Macroarea de Urbanizacao Consolidada,111454576.0,74064967.24239992,30964310.467899963,40.0,10.979375,1.5048217821420393,0.4180695897233024,2006
0,Fora de MacroÁrea,2942.0,95840.0,2645.0,2.0,17.7125,0.030696994991652755,0.027598080133555927,1999
1,Macroarea de Contencao Urbana e Uso Sustentavel,10205.0,1257263.0,9552.0,3.0,32.7625,0.008116837924921039,0.007597455743150001,1999
2,Macroarea de Controle e Qualificacao Urbana e Ambiental,9005441.0,43664605.32989999,6678822.300999999,28.0,11.475,0.20624120914321858,0.15295734956355087,1999
3,Macroarea de Estruturacao Metropolitana,102328522.0,143066893.2314,52989630.296199985,46.0,10.0,0.7152494870668035,0.3703835953891388,1999
4,Macroarea de Preservacao dos Ecossistemas Naturais,29735.0,3397698.0,15372.0,3.0,97.65416666666667,0.008751513524745283,0.004524239646960972,1999
5,Macroarea de Qualificacao da Urbanizacao,97403372.0,145489500.38800007,58666079.034000024,47.0,10.0,0.6694872945486711,0.4032323904992857,1999
6,Macroarea de Reducao da Vulnerabilidade Urbana,43466295.0,105840101.73290007,30718704.857199997,42.0,10.0,0.4106788853027778,0.29023691733330204,1999
7,Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,15786816.0,67130082.87379998,12044992.164799996,40.0,10.445,0.23516753330512263,0.17942763734470232,1999
8,Macroarea de Urbanizacao Consolidada,98414848.0,74105517.78339994,29476590.87759998,90.0,10.855902777777777,1.3280367095963466,0.39776512949758924,1999
0,Fora de MacroÁrea,3520.0,95865.0,3149.0,2.0,19.045,0.03671830177854274,0.032848276221770195,2010
1,Macroarea de Contencao Urbana e Uso Sustentavel,15579.0,1465120.0,11882.0,3.0,40.797321428571436,0.01063325870918423,0.008109915911324669,2010
2,Macroarea de Controle e Qualificacao Urbana e Ambiental,10423053.0,36504268.8176,6637580.344899999,28.0,11.096803069053706,0.28552970207623163,0.18183025054044602,2010
3,Macroarea de Estruturacao Metropolitana,123900344.0,142975255.78010023,56707654.133300014,46.0,10.0,0.8665859230254642,0.3966256526270385,2010
4,Macroarea de Preservacao dos Ecossistemas Naturais,31259.0,3469698.0,17976.0,3.0,150.0,0.009009141429599925,0.005180854356776872,2010
5,Macroarea de Qualificacao da Urbanizacao,113879567.0,135875718.0934,59077780.904500015,47.0,9.916666666666668,0.8381156589120655,0.434792777793383,2010
6,Macroarea de Reducao da Vulnerabilidade Urbana,54139495.0,104659487.39020003,34976889.50359999,38.0,10.0,0.5172918036389068,0.33419702671766677,2010
7,Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,20126845.0,65879426.015599996,13489380.568199992,40.0,10.057161854103343,0.3055103272337868,0.2047586232005992,2010
8,Macroarea de Urbanizacao Consolidada,119411693.0,74144908.78399989,31956404.09459998,40.0,10.75,1.6105177679545337,0.43099930418278454,2010
0,Fora de MacroÁrea,3227.0,95865.0,2900.0,2.0,18.25,0.03366192040890836,0.0302508736243676,2005
1,Macroarea de Contencao Urbana e Uso Sustentavel,15385.0,1304080.0,11688.0,3.0,33.625,0.011797589104962886,0.008962640328814183,2005
2,Macroarea de Controle e Qualificacao Urbana e Ambiental,10127887.0,44597965.00500001,7159771.425100001,28.0,11.26875,0.2270930298919364,0.16054031667806587,2005
3,Macroarea de Estruturacao Metropolitana,113536266.0,145533410.52650014,55604920.85300004,46.0,10.0,0.7801388395232187,0.38207666989893674,2005
4,Macroarea de Preservacao dos Ecossistemas Naturais,29835.0,3469698.0,15472.0,3.0,150.0,0.008598731071119158,0.00445917771517867,2005
5,Macroarea de Qualificacao da Urbanizacao,110100254.0,146616289.80380014,62020393.07120003,47.0,10.0,0.7509414823368851,0.42301161183518454,2005
